id_dim_personne,id_parain
1004250808,224108008
1660202716,NULL
1715100837,1697958997
1725735525,NULL
1748840201,814632101
1766903833,279756350
1887361163,NULL
1989548372,1963780148
2232679265,NULL
2260529045,NULL
2364644331,2021358682
2381429055,NULL
2997328175,2189012374
3294911605,5417211960
3491258034,NULL
3705902288,2487194811
3878342197,NULL
4141010655,344717191
4223249842,NULL
4252943190,5889654052
4253839485,NULL
4406550122,NULL
4409310817,NULL
4428098087,NULL
4544429677,2455456310
4571148440,3768996190
4613670658,5686755131
4881973309,NULL
4899596466,1431882427
4900569192,6300487456
4911987041,6064461978
5008893139,NULL
5074674813,NULL
5074709526,NULL
5112304523,4887330811
5117773150,NULL
5117837673,NULL
5132428914,5001424590
5137469044,NULL
5141388875,NULL
5293796430,NULL
5293897282,NULL
5322556642,1969472651
5339552102,3566170222
5348731365,NULL
5355664001,5962510085
5359053029,NULL
5407590275,NULL
5412538489,NULL
5417586028,NULL
5424073447,NULL
5428781134,NULL
5429734977,NULL
5429739418,6602032613
5433139280,NULL
5443490785,NULL
5443495511,NULL
5443667198,1073574113
5455993883,3479206034
5456248658,5552414804
5459308679,5407443106
5462998737,NULL
5487878635,NULL
5489972952,3899764727
5490053798,NULL
5493424030,6149536575
5497643172,66502
5500978215,3633019600
5501158999,NULL
5507364926,NULL
5520355467,3446826587
5527785284,2900145888
5536854338,NULL
5540494079,399675377
5552522620,4396917507
5570179107,5059073875
5590273114,4662052206
5590328418,NULL
5590405580,NULL
5607459380,NULL
5610755582,NULL
5611856339,NULL
5611857127,NULL
5621628180,4446263775
5625755417,2950605161
5633235006,5195810483
5633235574,5195810483
5640509732,892691014
5640563355,1987937315
5640615728,6373115717
5640701417,3881052928
5644393296,NULL
5648696030,NULL
5649789629,NULL
5650626005,NULL
5662791518,NULL
5662834951,NULL
5663190813,3208850305
5669905115,NULL
5669972401,NULL
5670150628,NULL
5670170439,NULL
5670170444,NULL
5672235423,NULL
5672235789,NULL
5672322504,NULL
5675856103,5050232098
5679608717,NULL
5679772854,NULL
5680124230,5493244854
5683110662,6488352150
5683123010,4483544433
5683178486,NULL
5683244244,5368307756
5683352615,NULL
5686657084,5487611730
5686658791,6777060881
5686914311,NULL
5686924908,4523427054
5691119225,194549
5694232204,NULL
5694269725,NULL
5697381763,NULL
5697638677,NULL
5701669852,5928860108
5702030914,2775520955
5705443260,3832479925
4070786173,NULL
4043908346,3700116613
3990521784,3433833330
3903923759,NULL
3884471491,241076
3872526155,NULL
3842092286,3600136645
3580091896,3580082610
3460076186,6084740841
3451682323,NULL
3355018409,2164512681
3298624426,NULL
5712098338,6455377882
3075842360,NULL
3075842345,NULL
3036827950,2279897053
3036283077,2891013274
5713136584,4400215303
2897099596,NULL
2877945061,NULL
2848208135,NULL
2685946020,2643356058
2622597285,NULL
2616383679,NULL
2270318999,20382
2008652937,1965295877
1976847510,NULL
1890939986,640596171
1529146396,NULL
5717502627,NULL
331850710,2754681582
5708545292,NULL
5708536134,NULL
5708535105,NULL
5705494485,3776719848
5705461862,5202491192
5705461401,5657492263
5717950350,6235687066
5705456451,4260704958
5705412256,NULL
5721892679,NULL
5705316043,NULL
5705176897,4368837796
5725237934,5456153828
5705052235,NULL
5701699503,3497090783
5701620326,NULL
5701493167,NULL
5701492731,NULL
5697910788,NULL
5697908313,2682116362
5697865699,4687749288
5697773051,NULL
5697712515,5756117733
5697691880,2420232031
5697688533,NULL
5697302245,2066595240
5729810982,NULL
5694251603,3665755628
5694215640,3820453565
5729879856,NULL
5694212442,NULL
5735037070,NULL
5694201985,NULL
5694166523,NULL
5694152462,NULL
5694140010,4291624979
5693114412,3719232117
5693051089,5712084373
5735196409,4585064768
5692920974,NULL
5736252278,5407355727
5736253854,NULL
5692913925,NULL
5691126566,3935304915
5736303401,5672227811
5690967858,3075888184
5690964577,NULL
5686941039,NULL
5686837257,NULL
5739628213,NULL
5684370045,NULL
5683389630,5721418305
5739905633,NULL
5683170418,NULL
5683153215,3222008843
5739973754,5624851377
5680150125,5367259118
5679855901,NULL
5740050807,NULL
5679776614,4225706042
5676061097,2171129529
5675850559,5339266068
5675783747,NULL
5744531258,954026706
5744532911,1978816028
5744543089,NULL
5675686184,4031338529
5675660560,3919685561
5672313629,NULL
5672300877,NULL
5672276160,NULL
5672267325,NULL
5672220392,NULL
5672217200,NULL
5672169414,NULL
5671375827,4181489683
5752218854,NULL
5671351894,NULL
5671296071,NULL
5671070797,3118458707
5752592639,1389136990
5752673906,2985740411
5670995376,4345895353
5670188349,NULL
5670135246,NULL
5669820154,NULL
5669790707,5708545605
5666517751,NULL
5757569519,NULL
5666327950,5650743084
5663235940,NULL
5663191975,NULL
5663173302,6884524605
5663170353,5523651708
5663156263,NULL
5663148909,2545197534
5663110645,6312633937
5663109340,4005921147
5758726798,4572164792
5762024685,NULL
5663080446,NULL
5662913964,NULL
5662760343,NULL
5659596179,NULL
5659582523,NULL
5659054138,NULL
5658950698,NULL
5658881398,NULL
5658873384,NULL
5658850555,NULL
5657507369,NULL
5657467172,1619377338
5654500751,6720237906
5654497866,NULL
5654426749,5654424692
5654422904,NULL
5654084546,NULL
5654010542,NULL
5653941462,5659571331
5650827533,NULL
5650826440,6030536145
5650754246,NULL
5779533822,5779533751
5650701664,130398
5650700472,NULL
5650664899,NULL
5780557884,NULL
5650643952,NULL
5650643932,NULL
5649820471,NULL
5649819023,NULL
5649771605,NULL
5649771235,3560263218
5649758336,NULL
5780765262,NULL
5649746080,NULL
5781813478,NULL
5781815236,NULL
5649714315,NULL
5649694346,NULL
5648800667,NULL
5648799526,2421935680
5648798220,4878513476
5648794858,5346242711
5648778435,NULL
5648776005,5913001172
5648774827,NULL
5648751129,5648676100
5648689948,5893238216
5647298053,NULL
5644428535,3468106902
5644288294,3824554489
5644257053,5046896135
5644250671,NULL
5640746946,NULL
5636462995,6716419638
5633164144,NULL
5794786020,6304645011
5633162683,3686619839
5632151230,NULL
5625967815,5310237772
5625842901,NULL
5625811903,4526358504
5625806839,NULL
5624898801,NULL
5624853908,NULL
5624784614,NULL
5616197003,2084400933
5616100114,2386386024
5611975279,NULL
5611974320,NULL
5611950560,NULL
5610823235,253741
5607660076,403840386
5607609146,NULL
5607314464,NULL
5604124711,6580564217
5808840696,4149961437
5595919333,NULL
5595860685,5922600877
5591705609,NULL
5587125570,5547192227
5586935475,5403290040
5582832107,3851457889
5574823398,1423752224
5574554019,5412530672
5574524761,1707748715
5571215815,NULL
5816869801,6682537518
5571185170,NULL
5571177323,NULL
5570134241,NULL
5569964429,5011879309
5569006417,6124837156
5568909929,NULL
5820756257,NULL
5820765203,NULL
5568903221,NULL
5568786087,NULL
5824541926,5744525674
5564720031,NULL
5564442339,6093405541
5564409606,3171365943
5564330615,NULL
5556982344,5368317596
5556979487,6346387466
5826891143,744164818
5556825936,NULL
5556754446,5556762124
5554814608,NULL
5552858794,NULL
5549360732,6546601640
5549277492,NULL
5549272869,4139886500
5549197261,NULL
5549196468,NULL
5547238931,NULL
5543786293,NULL
5543704845,4852613381
5543663173,4053323613
5543582642,5318886055
5543474858,4678458872
5842934722,NULL
5540360527,5785501212
5533404744,5540478515
5528865713,NULL
5527795850,NULL
5526866290,NULL
5526621305,NULL
5846886664,1610919697
