"Code_geographique","Libelle_geographique","Salaire_net_horaire_moyen_en_2014_euro"
6004,"Antibes","14,9"
6006,"Aspremont","16,8"
6007,"Auribeau-sur-Siagne","15,6"
6010,"Le Bar-sur-Loup","17,0"
6011,"Beaulieu-sur-Mer","13,3"
6012,"Beausoleil","11,8"
6018,"Biot","20,0"
6023,"Breil-sur-Roya","11,8"
6027,"Cagnes-sur-Mer","14,2"
6029,"Cannes","13,2"
6030,"Le Cannet","13,3"
6032,"Cap-d'Ail","17,2"
6033,"Carros","13,4"
6038,"Châteauneuf-Grasse","19,0"
6044,"La Colle-sur-Loup","18,3"
6046,"Colomars","15,5"
6048,"Contes","13,3"
6054,"Drap","12,4"
6057,"L'Escarène","12,6"
6059,"Èze","14,3"
6064,"Gattières","15,0"
6065,"La Gaude","17,2"
6069,"Grasse","14,4"
6075,"Levens","14,2"
6079,"Mandelieu-la-Napoule","14,0"
6083,"Menton","11,7"
6084,"Mouans-Sartoux","17,5"
6085,"Mougins","17,0"
6088,"Nice","13,2"
6089,"Opio","22,2"
6090,"Pégomas","14,3"
6091,"Peille","13,3"
6095,"Peymeinade","15,3"
6104,"Roquebrune-Cap-Martin","12,9"
6105,"Roquefort-les-Pins","22,3"
6108,"La Roquette-sur-Siagne","15,5"
6112,"Le Rouret","20,8"
6114,"Saint-André-de-la-Roche","12,7"
6118,"Saint-Cézaire-sur-Siagne","15,0"
6122,"Saint-Jeannet","17,2"
6123,"Saint-Laurent-du-Var","14,2"
6126,"Saint-Martin-du-Var","13,2"
6128,"Saint-Paul-de-Vence","18,6"
6130,"Saint-Vallier-de-Thiey","14,2"
6136,"Sospel","12,1"
6140,"Le Tignet","15,4"
6147,"Tourrette-Levens","13,6"
6148,"Tourrettes-sur-Loup","17,8"
6149,"La Trinité","12,4"
6150,"La Turbie","18,6"
6152,"Valbonne","19,1"
6155,"Vallauris","13,5"
6157,"Vence","15,7"
6159,"Villefranche-sur-Mer","15,2"
6161,"Villeneuve-Loubet","15,4"
6163,"Tende","11,6"
7010,"Annonay","12,2"
7019,"Aubenas","11,7"
7041,"Boulieu-lès-Annonay","12,5"
7042,"Bourg-Saint-Andéol","13,6"
7055,"Charmes-sur-Rhône","14,0"
7064,"Le Cheylard","13,2"
7066,"Chomérac","13,1"
7070,"Cornas","13,1"
7076,"Cruas","14,5"
7078,"Davézieux","13,0"
7102,"Guilherand-Granges","13,4"
7129,"Lamastre","10,9"
7181,"Le Pouzin","12,0"
7186,"Privas","12,2"
7191,"Rochemaure","15,4"
7197,"Roiffieux","12,5"
7201,"Ruoms","10,5"
7204,"Saint-Agrève","11,2"
7231,"Saint-Étienne-de-Fontbellon","12,5"
7240,"Saint-Georges-les-Bains","13,9"
7245,"Saint-Jean-de-Muzols","13,5"
7264,"Saint-Marcel-d'Ardèche","15,3"
7281,"Saint-Péray","15,2"
7308,"Sarras","12,5"
7316,"Soyons","14,9"
7319,"Le Teil","12,4"
7324,"Tournon-sur-Rhône","12,9"
7325,"Ucel","13,2"
7330,"Vallon-Pont-d'Arc","11,7"
7331,"Vals-les-Bains","11,3"
7334,"Les Vans","11,2"
7337,"Vernosc-lès-Annonay","13,3"
7341,"Villeneuve-de-Berg","12,1"
7346,"Viviers","13,5"
7349,"La Voulte-sur-Rhône","11,8"
8053,"Bazeilles","12,9"
8081,"Bogny-sur-Meuse","11,6"
8090,"Carignan","11,7"
8105,"Charleville-Mézières","12,5"
8142,"Donchery","12,2"
8174,"Floing","12,9"
8185,"Fumay","11,1"
8190,"Givet","13,9"
8222,"Haybes","12,4"
8302,"Monthermé","12,1"
8311,"Mouzon","12,7"
8327,"Nouvion-sur-Meuse","12,3"
8328,"Nouzonville","11,9"
8362,"Rethel","11,9"
8363,"Revin","12,0"
8367,"Rocroi","11,9"
8409,"Sedan","11,8"
8480,"Villers-Semeuse","12,8"
8487,"Vireux-Wallerand","15,0"
8488,"Vivier-au-Court","13,1"
8490,"Vouziers","11,7"
8491,"Vrigne-aux-Bois","12,6"
9122,"Foix","12,4"
9157,"Laroque-d'Olmes","11,4"
9160,"Lavelanet","11,0"
9167,"Lézat-sur-Lèze","12,4"
9185,"Mazères","12,4"
9194,"Mirepoix","12,0"
9225,"Pamiers","11,9"
9261,"Saint-Girons","11,7"
9265,"Saint-Jean-du-Falga","12,4"
9282,"Saverdun","12,5"
9306,"Tarascon-sur-Ariège","12,1"
9312,"La Tour-du-Crieu","12,7"
9324,"Varilhes","12,1"
9332,"Verniolle","13,0"
10003,"Aix-en-Othe","11,2"
10006,"Arcis-sur-Aube","11,6"
10033,"Bar-sur-Aube","11,6"
10034,"Bar-sur-Seine","11,4"
10060,"Bréviandes","13,4"
10064,"Brienne-le-Château","11,7"
10081,"La Chapelle-Saint-Luc","11,1"
10265,"Les Noës-près-Troyes","11,4"
10268,"Nogent-sur-Seine","14,5"
10297,"Pont-Sainte-Marie","12,0"
10321,"La Rivière-de-Corps","14,7"
10323,"Romilly-sur-Seine","11,6"
10325,"Rosières-près-Troyes","13,7"
10333,"Saint-André-les-Vergers","12,8"
10340,"Saint-Germain","12,5"
10343,"Saint-Julien-les-Villas","12,9"
10349,"Saint-Lyé","13,7"
10357,"Saint-Parres-aux-Tertres","12,6"
10362,"Sainte-Savine","12,9"
10387,"Troyes","11,8"
10401,"Vendeuvre-sur-Barse","11,1"
10420,"Villenauxe-la-Grande","12,8"
11049,"Bram","11,5"
11069,"Carcassonne","11,8"
11076,"Castelnaudary","11,9"
11099,"Conques-sur-Orbiel","11,7"
11106,"Coursan","11,7"
11116,"Cuxac-d'Aude","11,5"
11145,"Fleury","11,8"
11170,"Gruissan","11,9"
11202,"Leucate","11,3"
11203,"Lézignan-Corbières","11,4"
11206,"Limoux","11,2"
11262,"Narbonne","12,2"
11266,"Port-la-Nouvelle","11,3"
11269,"Ouveillan","12,2"
11272,"Palaja","13,1"
11279,"Pennautier","11,7"
11304,"Quillan","11,0"
11315,"Rieux-Minervois","11,0"
11369,"Sallèles-d'Aude","12,5"
11370,"Salles-d'Aude","12,9"
11379,"Sigean","11,7"
11397,"Trèbes","11,5"
11429,"Villemoustaussou","12,9"
11441,"Vinassan","13,0"
12013,"Aubin","11,7"
12033,"Bozouls","12,1"
12052,"Capdenac-Gare","12,1"
12056,"Baraqueville","12,0"
12089,"Decazeville","11,6"
12090,"Druelle","13,5"
12096,"Espalion","11,5"
12100,"Firmi","11,7"
12102,"Flavin","12,6"
12133,"Luc-la-Primaube","12,5"
12145,"Millau","11,8"
12146,"Le Monastère","13,1"
12174,"Olemps","13,2"
12176,"Onet-le-Château","12,5"
12197,"Réquista","12,1"
12198,"Rieupeyroux","11,1"
12202,"Rodez","12,6"
12208,"Saint-Affrique","11,9"
12254,"Salles-la-Source","13,2"
12264,"Sébazac-Concourès","12,8"
12270,"Sévérac-le-Château","11,4"
12300,"Villefranche-de-Rouergue","11,6"
13001,"Aix-en-Provence","16,1"
13002,"Allauch","16,0"
13003,"Alleins","15,7"
13004,"Arles","12,5"
13005,"Aubagne","13,4"
13007,"Auriol","15,2"
13010,"Barbentane","13,9"
13014,"Berre-l'Étang","12,1"
13015,"Bouc-Bel-Air","17,8"
13016,"La Bouilladisse","15,9"
13018,"Cabannes","12,8"
13019,"Cabriès","19,6"
13020,"Cadolive","15,4"
13021,"Carry-le-Rouet","19,9"
13022,"Cassis","16,9"
13023,"Ceyreste","17,1"
13024,"Charleval","14,0"
13025,"Châteauneuf-le-Rouge","19,3"
13026,"Châteauneuf-les-Martigues","13,9"
13027,"Châteaurenard","12,7"
13028,"La Ciotat","14,4"
13030,"Cuges-les-Pins","14,3"
13031,"La Destrousse","14,7"
13032,"Éguilles","20,1"
13033,"Ensuès-la-Redonne","17,8"
13035,"Eyguières","15,5"
13036,"Eyragues","13,0"
13037,"La Fare-les-Oliviers","15,7"
13038,"Fontvieille","14,3"
13039,"Fos-sur-Mer","14,1"
13040,"Fuveau","16,4"
13041,"Gardanne","13,3"
13042,"Gémenos","17,7"
13043,"Gignac-la-Nerthe","13,9"
13044,"Grans","16,6"
13045,"Graveson","12,7"
13046,"Gréasque","16,0"
13047,"Istres","13,9"
13048,"Jouques","15,6"
13050,"Lambesc","15,6"
13051,"Lançon-Provence","15,8"
13052,"Maillane","13,1"
13053,"Mallemort","14,2"
13054,"Marignane","13,2"
13055,"Marseille","13,8"
13056,"Martigues","14,3"
13058,"Maussane-les-Alpilles","14,2"
13059,"Meyrargues","15,8"
13060,"Meyreuil","16,5"
13062,"Mimet","17,0"
13063,"Miramas","12,6"
13064,"Mollégès","14,2"
13065,"Mouriès","14,5"
13066,"Noves","13,4"
13067,"Orgon","12,8"
13069,"Pélissanne","16,7"
13070,"La Penne-sur-Huveaune","13,9"
13071,"Les Pennes-Mirabeau","14,6"
13072,"Peynier","17,6"
13073,"Peypin","15,4"
13074,"Peyrolles-en-Provence","14,3"
13075,"Plan-de-Cuques","15,1"
13076,"Plan-d'Orgon","12,9"
13077,"Port-de-Bouc","12,8"
13078,"Port-Saint-Louis-du-Rhône","13,7"
13080,"Le Puy-Sainte-Réparade","15,6"
13081,"Rognac","13,9"
13082,"Rognes","17,3"
13083,"Rognonas","13,4"
13084,"La Roque-d'Anthéron","13,0"
13085,"Roquefort-la-Bédoule","15,2"
13086,"Roquevaire","15,8"
13087,"Rousset","15,6"
13088,"Le Rove","14,9"
13089,"Saint-Andiol","12,2"
13091,"Saint-Cannat","17,0"
13092,"Saint-Chamas","14,6"
13094,"Saint-Étienne-du-Grès","14,5"
13096,"Saintes-Maries-de-la-Mer","10,5"
13097,"Saint-Martin-de-Crau","13,8"
13098,"Saint-Mitre-les-Remparts","16,1"
13100,"Saint-Rémy-de-Provence","13,4"
13101,"Saint-Savournin","15,3"
13102,"Saint-Victoret","13,0"
13103,"Salon-de-Provence","14,1"
13104,"Sausset-les-Pins","18,2"
13105,"Sénas","13,5"
13106,"Septèmes-les-Vallons","13,1"
13107,"Simiane-Collongue","17,0"
13108,"Tarascon","12,1"
13109,"Le Tholonet","19,1"
13110,"Trets","15,0"
13112,"Velaux","17,3"
13113,"Venelles","17,3"
13114,"Ventabren","20,2"
13117,"Vitrolles","13,2"
13118,"Coudoux","17,4"
13119,"Carnoux-en-Provence","15,4"
14020,"Argences","12,2"
14027,"Aunay-sur-Odon","11,8"
14047,"Bayeux","12,1"
14060,"Bénouville","15,5"
14066,"Bernières-sur-Mer","13,7"
14068,"Biéville-Beuville","18,5"
14076,"Blainville-sur-Orne","12,4"
14098,"Bretteville-l'Orgueilleuse","13,6"
14101,"Bretteville-sur-Odon","15,2"
14117,"Cabourg","12,8"
14118,"Caen","13,0"
14137,"Carpiquet","12,7"
14166,"Colleville-Montgomery","14,5"
14167,"Colombelles","11,3"
14174,"Condé-sur-Noireau","11,8"
14181,"Cormelles-le-Royal","13,2"
14191,"Courseulles-sur-Mer","12,3"
14215,"Cuverville","13,0"
14220,"Deauville","13,1"
14221,"Démouville","12,8"
14225,"Dives-sur-Mer","11,0"
14228,"Douvres-la-Délivrande","14,4"
14229,"Dozulé","10,6"
14258,"Falaise","11,5"
14271,"Fleury-sur-Orne","12,1"
14274,"Fontaine-Étoupefour","16,0"
14301,"Giberville","11,9"
14325,"Hermanville-sur-Mer","14,6"
14327,"Hérouville-Saint-Clair","11,8"
14333,"Honfleur","12,8"
14338,"Houlgate","13,1"
14341,"Ifs","12,4"
14342,"Isigny-sur-Mer","11,5"
14365,"Lion-sur-Mer","14,2"
14366,"Lisieux","11,5"
14370,"Le Molay-Littry","11,5"
14371,"Livarot","11,2"
14383,"Louvigny","14,2"
14384,"Luc-sur-Mer","14,8"
14409,"Merville-Franceville-Plage","13,7"
14431,"Mézidon-Canon","11,4"
14437,"Mondeville","11,8"
14456,"Moult","12,4"
14478,"Orbec","11,6"
14488,"Ouistreham","13,7"
14514,"Pont-l'Évêque","11,7"
14515,"Port-en-Bessin-Huppain","11,7"
14536,"La Rivière-Saint-Sauveur","13,9"
14562,"Saint-Aubin-sur-Mer","13,9"
14566,"Saint-Contest","17,5"
14587,"Saint-Germain-la-Blanche-Herbe","12,3"
14623,"Saint-Martin-de-Fontenay","13,2"
14654,"Saint-Pierre-sur-Dives","10,9"
14663,"Saint-Vigor-le-Grand","12,7"
14675,"Soliers","13,4"
14689,"Thury-Harcourt","12,2"
14699,"Touques","11,8"
14712,"Troarn","12,8"
14715,"Trouville-sur-Mer","12,7"
14738,"Verson","13,7"
14752,"Villers-Bocage","11,6"
14754,"Villers-sur-Mer","12,8"
14762,"Vire","11,4"
15012,"Arpajon-sur-Cère","12,3"
15014,"Aurillac","11,6"
15120,"Mauriac","11,1"
15122,"Maurs","10,9"
15162,"Riom-ès-Montagnes","11,4"
15187,"Saint-Flour","11,1"
15267,"Ytrac","12,3"
16015,"Angoulême","13,0"
16028,"Barbezieux-Saint-Hilaire","12,2"
16061,"Brie","12,7"
16078,"Champniers","13,6"
16085,"Chasseneuil-sur-Bonnieure","11,5"
16089,"Châteaubernard","12,9"
16090,"Châteauneuf-sur-Charente","12,0"
16097,"Cherves-Richemont","13,8"
16102,"Cognac","13,5"
16106,"Confolens","12,2"
16113,"La Couronne","11,9"
16138,"Fléac","14,1"
16154,"Gond-Pontouvre","12,4"
16166,"L'Isle-d'Espagnac","13,0"
16167,"Jarnac","12,6"
16187,"Linars","13,4"
16192,"Roumazières-Loubert","11,4"
16199,"Magnac-sur-Touvre","13,5"
16223,"Montbron","11,3"
16232,"Mornac","12,9"
16236,"Mouthiers-sur-Boëme","13,5"
16244,"Nersac","12,3"
16271,"Puymoyen","16,0"
16281,"La Rochefoucauld","11,7"
16287,"Roullet-Saint-Estèphe","12,1"
16291,"Ruelle-sur-Touvre","12,6"
16292,"Ruffec","11,2"
16341,"Saint-Michel","12,1"
16358,"Saint-Yrieix-sur-Charente","13,9"
16366,"Segonzac","12,2"
16374,"Soyaux","12,4"
17003,"Aigrefeuille-d'Aunis","12,3"
17008,"Andilly","13,2"
17010,"Angoulins","14,0"
17021,"Arvert","10,7"
17028,"Aytré","12,7"
17051,"Le Bois-Plage-en-Ré","13,3"
17058,"Bourcefranc-le-Chapus","11,2"
17064,"Breuillet","12,4"
17086,"Chaniers","12,8"
17093,"Le Château-d'Oléron","11,3"
17094,"Châtelaillon-Plage","14,3"
17131,"Cozes","10,8"
17140,"Dolus-d'Oléron","11,6"
17142,"Dompierre-sur-Mer","14,0"
17146,"Échillais","12,5"
17153,"Esnandes","12,7"
17155,"Étaules","11,4"
17161,"La Flotte","13,0"
17164,"Fontcouverte","13,8"
17168,"Fouras","13,5"
17172,"Gémozac","11,7"
17185,"Le Gua","10,7"
17190,"L'Houmeau","16,0"
17193,"La Jarne","13,4"
17194,"La Jarrie","13,4"
17197,"Jonzac","11,3"
17200,"Lagord","15,1"
17218,"Marans","11,7"
17219,"Marennes","11,1"
17222,"Marsilly","15,0"
17224,"Matha","11,4"
17228,"Médis","12,0"
17230,"Meschers-sur-Gironde","12,0"
17240,"Montendre","11,8"
17264,"Nieul-sur-Mer","14,7"
17274,"Périgny","14,8"
17283,"Pons","11,1"
17291,"Puilboreau","13,3"
17297,"Rivedoux-Plage","13,9"
17299,"Rochefort","11,9"
17300,"La Rochelle","13,2"
17306,"Royan","11,9"
17308,"Saint-Agnant","12,1"
17333,"Saint-Georges-de-Didonne","12,9"
17336,"Saint-Georges-des-Coteaux","12,8"
17337,"Saint-Georges-d'Oléron","11,4"
17347,"Saint-Jean-d'Angély","11,8"
17349,"Saint-Jean-de-Liversay","12,1"
17360,"Sainte-Marie-de-Ré","14,0"
17369,"Saint-Martin-de-Ré","12,1"
17380,"Saint-Palais-sur-Mer","13,0"
17385,"Saint-Pierre-d'Oléron","11,1"
17397,"Saint-Savinien","10,3"
17407,"Sainte-Soulle","13,3"
17409,"Saint-Sulpice-de-Royan","12,1"
17414,"Saint-Xandre","13,9"
17415,"Saintes","12,5"
17420,"Salles-sur-Mer","14,9"
17421,"Saujon","11,4"
17425,"Semussac","11,2"
17429,"Soubise","12,4"
17434,"Surgères","11,9"
17449,"Tonnay-Charente","11,8"
17452,"La Tremblade","11,5"
17461,"Vaux-sur-Mer","13,7"
17466,"Vérines","12,8"
18011,"Argent-sur-Sauldre","12,1"
18015,"Aubigny-sur-Nère","12,0"
18018,"Avord","11,0"
18033,"Bourges","13,0"
18050,"La Chapelle-Saint-Ursin","13,3"
18057,"Châteaumeillant","11,3"
18087,"Dun-sur-Auron","12,3"
18096,"Foëcy","11,9"
18097,"Fussy","13,7"
18108,"La Guerche-sur-l'Aubois","12,3"
18138,"Marmagne","13,7"
18141,"Mehun-sur-Yèvre","12,7"
18148,"Méreau","13,1"
18197,"Saint-Amand-Montrond","10,8"
18205,"Saint-Doulchard","14,4"
18207,"Saint-Florent-sur-Cher","12,2"
18213,"Saint-Germain-du-Puy","12,0"
18223,"Saint-Martin-d'Auxigny","12,5"
18242,"Sancoins","11,0"
18267,"Trouy","14,0"
18279,"Vierzon","11,5"
18281,"Vignoux-sur-Barangeon","12,8"
19005,"Allassac","12,2"
19010,"Argentat","11,9"
19028,"Bort-les-Orgues","11,0"
19031,"Brive-la-Gaillarde","12,5"
19063,"Cosnac","14,0"
19072,"Donzenac","13,1"
19073,"Égletons","11,6"
19121,"Lubersac","11,8"
19123,"Malemort-sur-Corrèze","12,5"
19136,"Meymac","11,6"
19146,"Naves","13,3"
19153,"Objat","12,3"
19229,"Saint-Pantaléon-de-Larche","13,0"
19272,"Tulle","11,8"
19274,"Ussac","14,6"
19275,"Ussel","11,7"
19276,"Uzerche","11,8"
19278,"Varetz","12,7"
21021,"Arc-sur-Tille","15,5"
21038,"Auxonne","11,8"
21054,"Beaune","13,2"
21103,"Brazey-en-Plaine","12,5"
21154,"Châtillon-sur-Seine","11,5"
21166,"Chenôve","11,6"
21171,"Chevigny-Saint-Sauveur","12,9"
21231,"Dijon","13,4"
21278,"Fontaine-lès-Dijon","17,1"
21292,"Genlis","12,4"
21295,"Gevrey-Chambertin","13,1"
21317,"Is-sur-Tille","13,1"
21355,"Longvic","12,1"
21390,"Marsannay-la-Côte","13,7"
21416,"Mirebeau-sur-Bèze","12,5"
21425,"Montbard","11,8"
21464,"Nuits-Saint-Georges","13,0"
21485,"Plombières-lès-Dijon","12,9"
21515,"Quetigny","12,7"
21540,"Saint-Apollinaire","14,3"
21584,"Saulieu","11,2"
21599,"Selongey","13,0"
21603,"Semur-en-Auxois","12,4"
21605,"Sennecey-lès-Dijon","13,9"
21607,"Seurre","11,6"
21617,"Talant","14,8"
21657,"Varois-et-Chaignot","17,9"
21663,"Venarey-les-Laumes","11,8"
22004,"Bégard","11,6"
22007,"Binic","14,7"
22013,"Bourbriac","11,6"
22020,"Broons","11,8"
22025,"Callac","11,4"
22032,"Caulnes","11,3"
22048,"Corseul","11,9"
22050,"Dinan","12,5"
22054,"Erquy","12,7"
22055,"Étables-sur-Mer","13,4"
22067,"Grâces","12,7"
22070,"Guingamp","11,6"
22079,"Hénon","11,6"
22081,"Hillion","13,0"
22093,"Lamballe","12,5"
22106,"Langueux","13,0"
22113,"Lannion","14,2"
22118,"Lanvallay","13,2"
22123,"Léhon","15,2"
22134,"Louannec","16,7"
22135,"Louargat","11,7"
22136,"Loudéac","11,7"
22147,"Merdrignac","11,3"
22155,"La Motte","11,8"
22158,"Mûr-de-Bretagne","11,8"
22161,"Pabu","12,4"
22162,"Paimpol","12,1"
22166,"Penvénan","13,3"
22168,"Perros-Guirec","14,8"
22171,"Plaintel","12,4"
22172,"Plancoët","11,0"
22173,"Planguenoual","12,8"
22176,"Plédran","12,1"
22182,"Plélo","11,9"
22183,"Plémet","11,4"
22185,"Plénée-Jugon","11,4"
22186,"Pléneuf-Val-André","13,8"
22187,"Plérin","14,4"
22190,"Pleslin-Trigavou","11,9"
22194,"Plestin-les-Grèves","13,1"
22195,"Pleubian","11,9"
22197,"Pleudihen-sur-Rance","13,1"
22198,"Pleumeur-Bodou","14,9"
22203,"Ploeuc-sur-Lié","11,5"
22206,"Plouagat","11,8"
22207,"Plouaret","11,8"
22209,"Ploubalay","11,7"
22210,"Ploubazlanec","13,2"
22211,"Ploubezre","12,9"
22213,"Plouër-sur-Rance","14,2"
22214,"Plouézec","12,1"
22215,"Ploufragan","12,2"
22222,"Plouha","12,3"
22225,"Ploumagoar","12,2"
22226,"Ploumilliau","12,2"
22233,"Plourivo","11,8"
22237,"Pluduno","11,8"
22246,"Pommeret","12,0"
22251,"Pordic","13,9"
22258,"Quessoy","12,0"
22259,"Quévert","12,2"
22262,"Quintin","12,3"
22266,"Rostrenen","11,6"
22272,"Saint-Agathon","13,3"
22273,"Saint-Alban","11,7"
22277,"Saint-Brandan","11,6"
22278,"Saint-Brieuc","12,4"
22282,"Saint-Cast-le-Guildo","12,8"
22307,"Saint-Julien","12,8"
22325,"Saint-Quay-Portrieux","13,7"
22339,"Taden","12,4"
22343,"Trébeurden","15,9"
22353,"Trégastel","14,6"
22360,"Trégueux","12,5"
22362,"Tréguier","10,8"
22364,"Trélivan","11,6"
22389,"Yffiniac","12,4"
23008,"Aubusson","10,3"
23030,"Bourganeuf","10,5"
23096,"Guéret","12,1"
23176,"La Souterraine","12,2"
23193,"Sainte-Feyre","12,9"
24037,"Bergerac","11,7"
24053,"Boulazac","12,1"
24064,"Brantôme","11,6"
24067,"Le Bugue","11,0"
24068,"Le Buisson-de-Cadouin","11,3"
24098,"Champcevinel","14,1"
24102,"Chancelade","13,1"
24115,"Château-l'Évêque","11,9"
24138,"Coulounieix-Chamiers","12,4"
24167,"Eymet","11,0"
24222,"La Force","12,3"
24223,"Lalinde","12,3"
24225,"Lamonzie-Saint-Martin","12,0"
24256,"Marsac-sur-l'Isle","12,2"
24291,"Montignac","12,1"
24294,"Montpon-Ménestérol","11,6"
24299,"Mussidan","11,6"
24309,"Neuvic","11,2"
24311,"Nontron","11,4"
24312,"Notre-Dame-de-Sanilhac","12,9"
24322,"Périgueux","12,2"
24335,"Port-Sainte-Foy-et-Ponchapt","11,6"
24340,"Prigonrieux","12,1"
24350,"Razac-sur-l'Isle","11,7"
24352,"Ribérac","11,7"
24354,"La Roche-Chalais","11,9"
24372,"Saint-Astier","12,4"
